day,time,journey,year,month,date
Monday,1015,1 1,2021,2,1
Monday,1615,1 2,2021,2,1
Monday,1645,2 1,2021,2,1
Monday,1715,1 2,2021,2,1
Monday,1815,2 1,2021,2,1
Monday,1915,1 2,2021,2,1
Tuesday,1015,1 1,2021,2,2
Tuesday,1315,1 1,2021,2,2
Tuesday,1415,1 1,2021,2,2
Tuesday,1515,1 2,2021,2,2
Tuesday,1730,2 1,2021,2,2
Tuesday,2200,1 1,2021,2,2
Wednesday,0700,1 1,2021,2,3
Wednesday,0710,1 1,2021,2,3
Wednesday,0800,1 1,2021,2,3
Wednesday,0810,1 2,2021,2,3
Wednesday,0830,2 1,2021,2,3
Wednesday,1000,1 1,2021,2,3
Thursday,0700,1 1,2021,2,4
Thursday,0710,1 1,2021,2,4
Thursday,0800,1 1,2021,2,4
Thursday,0810,1 2,2021,2,4
Thursday,0830,2 1,2021,2,4
Thursday,1000,1 1,2021,2,4
Friday,0700,1 1,2021,2,5
Friday,0710,1 1,2021,2,5
Friday,0800,1 1,2021,2,5
Friday,0810,1 2,2021,2,5
Friday,0830,2 1,2021,2,5
Friday,1000,2 2,2021,2,5
Saturday,0700,1 1,2021,2,6
Saturday,0710,1 1,2021,2,6
Saturday,0800,1 1,2021,2,6
Saturday,0810,1 2,2021,2,6
Saturday,0830,2 1,2021,2,6
Saturday,1000,2 2,2021,2,6